epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8142,1.64259,2.58671,3.0448,1.58579,0.03841,0.66667,0.0356,0.01693,0.03908,0.67816,0.03584,0.01824,1.62345,3.61077,27.2179,2.05175,0.00052,0.00052,0.00052
2,24.4767,1.40205,1.48589,1.59615,1.50751,0.41489,0.65204,0.3736,0.17472,0.40111,0.57471,0.34474,0.18126,1.68424,4.93455,nan,2.46296,0.00103901,0.00103901,0.00103901
3,36.7632,1.45772,1.71114,1.54997,1.52397,0.50835,0.65517,0.58399,0.26301,0.51727,0.66667,0.58354,0.29731,1.67317,6.80457,1.82279,2.24338,0.00153664,0.00153664,0.00153664
4,50.7352,1.44046,1.53716,1.61539,1.59014,0.52368,0.34124,0.30505,0.14143,0.53688,0.34483,0.31635,0.15084,2.0935,3.94001,3.38395,2.57747,0.0018812,0.0018812,0.0018812
5,68.1511,1.58076,1.45081,1.62839,1.6762,0.0071,0.03448,0.00117,0.00056,0.0071,0.03448,0.00105,0.00048,3.06248,7.90855,13.7117,3.6227,0.0018416,0.0018416,0.0018416
6,84.4609,1.43681,1.44881,1.67809,1.59671,0.59312,0.68966,0.66483,0.37136,0.60456,0.70115,0.66962,0.40469,1.49398,2.63686,3.67715,2.12349,0.001802,0.001802,0.001802
7,104.933,1.38176,1.27992,1.37021,1.52675,0.75501,0.73563,0.80565,0.48182,0.76814,0.74713,0.82188,0.53935,1.37901,1.93858,1.79813,1.88196,0.0017624,0.0017624,0.0017624
8,120.648,1.37731,1.34782,1.20585,1.52269,0.5428,0.24138,0.23336,0.13034,0.57185,0.25287,0.26195,0.15987,2.68816,3.11517,3.1681,2.97565,0.0017228,0.0017228,0.0017228
9,132.616,1.3371,1.1468,1.13927,1.53183,0.70329,0.68114,0.70748,0.4486,0.72673,0.70308,0.72025,0.51888,1.45757,1.53059,1.39018,1.81933,0.0016832,0.0016832,0.0016832
10,149.627,1.35358,1.25429,1.15205,1.52395,0.80836,0.78161,0.84455,0.48046,0.83332,0.8046,0.86323,0.54134,1.4254,1.71645,1.56981,1.77338,0.0016436,0.0016436,0.0016436
11,164.02,1.27292,1.2274,1.06553,1.47532,0.87667,0.73535,0.81496,0.51916,0.89168,0.78161,0.84194,0.59131,1.31219,1.54911,1.1505,1.70265,0.001604,0.001604,0.001604
12,201.85,1.16946,1.08599,0.95356,1.38863,0.7751,0.83194,0.86729,0.56197,0.79571,0.85064,0.87668,0.59398,1.19321,1.55151,1.07955,1.59834,0.0015644,0.0015644,0.0015644
13,218.247,1.14037,1.10288,0.88603,1.34047,0.86466,0.80784,0.87747,0.56211,0.87692,0.81895,0.88159,0.59048,1.19174,1.6556,1.10761,1.6167,0.0015248,0.0015248,0.0015248
